ID,SMILES,Monoisotopic_Mass,InChI_Key
C00038,*C(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O,,
C00039,C[C@H](N)C(=O)O,89.047678464,QNAYBMKLOCPYGJ-REOHCLBHSA-N
C00040,O=C(O)CCC(=O)O,118.02660867200001,KDYFGRWQOYBRFD-UHFFFAOYSA-N
C00041,CC(=O)N[C@H]1[C@@H](OP(=O)(O)OP(=O)(O)OC[C@H]2O[C@@H](n3ccc(=O)[nH]c3=O)[C@H](O)[C@@H]2O)O[C@H](CO)[C@@H](O)[C@@H]1O,607.081569664,LFTYTUAZOPRMMI-CFRASDGPSA-N
C00042,Nc1nc2c(ncn2[C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]2O)c(=O)[nH]1,522.9906600819999,XKMLYUALXHKNFT-UUOKFMHZSA-N
C00043,*C(N)C(=O)O,,
C00044,*[C@@H]1O[C@H](COP(=O)(O)O[C@H]2[C@@H](O)[C@H](*)O[C@@H]2COP(=O)(O)O[C@H]2[C@@H](O)[C@H](*)O[C@@H]2COP(=O)(O)O)[C@@H](O)[C@H]1O,,
C00045,NCCCC[C@H](N)C(=O)O,146.105527688,KDXKERNSBIXSRK-YFKPBYRVSA-N
C00046,O=CC(=O)O,74.00039392400001,HHLFWLYXYJOTON-UHFFFAOYSA-N
C00047,N[C@@H](CC(=O)O)C(=O)O,133.037507704,CKLJMWTZIZZHCS-REOHCLBHSA-N
C00048,N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)O)C(=O)O,307.083806264,RWSXRVCMGQZWBV-WDSKDSINSA-N
C00049,O=c1ccn(C2O[C@H](COP(=O)(O)OP(=O)(O)O[C@H]3O[C@H](CO)[C@H](O)[C@H](O)[C@H]3O)[C@@H](O)[C@H]2O)c(=O)[nH]1,566.0550205679997,HSCJRCZFDFQWRP-WBRQRZOHSA-N
C00050,Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)OS(=O)(=O)O)[C@@H](OP(=O)(O)O)[C@H]1O,506.98622979999976,GACDQMDRPRGCTN-KQYNXXCUSA-N
C00051,Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)O)[C@@H](OP(=O)(O)O)[C@H]1O,427.02941493999987,WHTCPDAXWFLDIH-KQYNXXCUSA-N
C00052,Nc1ccn([C@@H]2O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]2O)c(=O)n1,323.051851038,IERHLVCPSMICTF-XVFCMESISA-N
C00053,O=CO,46.005479304,BDAGIHXWWSANSR-UHFFFAOYSA-N
C00054,O=S(=O)(O)O,97.96737954400001,QAOWNCQODCNURD-UHFFFAOYSA-N
C00055,*C(=O)[O-],,
C00058,Cc1cc2nc3c(=O)[nH]c(=O)nc-3n(C[C@H](O)[C@H](O)[C@H](O)COP(=O)(O)O)c2cc1C,456.1046148819999,FVTCRASFADXXNN-SCRDCRAPSA-N
C00059,N=C(N)NCCC[C@H](N)C(=O)O,174.111675688,ODKSFYDXXFIFQN-BYPYZUCNSA-N
C00060,Nc1ccn([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]2O)c(=O)n1,482.9845120819998,PCDQPRRSZKQHHS-XVFCMESISA-N
